452119,4657,822,,,,15,,,,,1,,,,1,1,1,1,1,,,,,,,,,,,232,1644,8537,,,
171471,,3029,,3617,5654,5090,4369,2679,885,249,30,3,0,0,0,0,0,0,0,0,0,6294,,,,,,,,,0,,,,
257926,,2734,862,426,264,146,70,63,62,,29,,,,18,3,4,3,3,1,1,,,,,,,,,,,,,,
439986,11597,3664,1250,357,154,72,26,13,7,4,3,,,,2,1,1,1,1,1,,,,,,,,,,,,,,,
111581,2400,469,236,290,88,34,11,5,3,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,
178594,1783,248,56,17,8,4,2,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,
488811,11959,1525,713,424,499,728,,81,88,25,5,2,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,
69,24,8,4,0,0,0,0,0,,0,,,,,0,0,0,,,,,,,,,,,,,,,,,,
19,12,7,5,3,2,2,0,,,,0,,,,0,0,0,0,0,,,,,,,,,,,,,,,,
5407,,52,12,4,3,2,0,,,,0,,0,0,,,,,,,,,,,0,,,,,,,,,,
274392,3010,579,163,63,33,17,11,6,4,3,,,,0,,0,0,0,0,0,0,,,,,,,,,,,,,,
242245,3414,614,295,213,,107,75,63,31,17,14,8,4,5,2,0,0,0,15,0,0,0,,,,,,,,,,,,,
565701,342265,16360,1979,504,182,82,,,12,8,5,,3,,,2,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,
36450,,79997,20798,1943,252,58,19,8,5,3,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
1669,1914,4434,5839,,,,32,8,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
151911,48969,16261,,388,113,38,,22,,29,33,45,,13,5,2,0,0,0,0,0,0,0,,,,,,,,,,,,
19991,5551,3709,3568,722,110,48,,24,18,15,8,5,,5,,0,0,0,0,0,0,0,0,,,,,,,,,,,,
20727,19468,,15922,676,145,39,18,8,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,782,6,0,0,,,,,
121768,218972,8754,3980,3327,1729,1159,612,366,197,7,0,0,0,0,0,0,0,0,35,,,,,,,383,829,,,,,,,,
108018,6104,2792,394,30,12,5,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
40428,32460,4612,2106,821,652,507,436,473,408,227,201,184,196,,23,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
96884,4041,1644,620,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
29455,2376,112,34,26,11,9,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
7189,15822,,20778,9412,969,62,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
14365,,251,,53,,2,,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,
73320,1336,145,43,18,6,3,0,0,0,,,,0,,,0,0,0,0,,,,,,,,,,,,,,,,
166859,176230,37749,1425,223,65,28,11,6,3,0,,,,,0,0,,,,,,,,,,,,,,,,,,,
17876,,74,,14,4,,,,0,,,,0,,,0,0,,,,,,,,,,,,,,,,,,
631112,18516,4243,1026,313,199,204,209,153,38,,2,,,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
11964,450,49,10,0,,,0,,,,0,,,,0,0,,,,,,,,,,,,,,,,,,,
773545,6607,1104,264,99,55,,,41,8,,,,,0,,0,,,0,,,,,,,,,,,,,,,,
3438,,,790,,325,,8,0,0,,,0,,,,0,0,,,,,,,,,,,,,,,,,,
358977,407433,76489,2796,644,192,87,49,27,16,9,6,3,2,0,0,0,0,0,160,3,0,0,0,,,,,,,,,,,,
